conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario							
10	241	30498	Acc ID: 200653070 <NL>Caller ID: 01110572800 <NL>I terminated this number in March 2016. Why am I still getting monthly statements?	1465097130	1449	0	18	English	Billing	Deposit Refund	Billing	Termination	Reason	False	BalanceTerminatedAccount							
10	253	30546	Can you confirm that<NL>Acc ID: 200653070 <NL>Caller ID: 01110572800 <NL>was terminated?	1465097553	1449	0	9	English	Billing	Deposit Refund	Billing	Termination	ObjectName	True	TerminationStatus							
10	257	30552	Can you refund the payment?	1465097639	1449	0	5	English	Billing	Deposit Refund	Billing	Refund	Request	True	HowRefund							
30	741	33905	I already terminated this servise. But 1 had rm- 18.33 balance brought forward.	1465187061	1613	0	12	English	Billing	Deposit Refund	Billing	Termination	Procedure	False	BalanceTerminatedAccount							
41	1070	38025	so how can i get the refund?	1465274359	1778	0	7	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund							
51	1241	44220	"hi, how do i get my refund?"	1465441806	2044	0	7	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund							
51	1247	44236	okay. how do i get my refund?	1465441963	2044	0	7	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund							
79	1954	54339	Where's my refund rm 40.00 ??	1465807684	2464	0	4	English	Billing	Deposit Refund	Billing	Refund	ObjectOthers	False	CheckRefundStatus							
99	2488	58449	Can u email me termination form?	1465957937	2667	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	Termination	Request	True	RequestTerminationDocument							
121	3051	66259	so when can i get back the refundable?	1466120504	2995	0	8	English	Billing	Billing Details	Billing	Refund	ObjectTime	False	CheckRefundStatus							
147	3666	75496	Hello. My account ID is 200833495. I've already terminated my account last month but looks like I have a balance of RM 1.90. How to pay this amount because I can't pay online?	1466510514	3420	0	32	English	Billing	Payment Channel	Billing	Termination	Procedure	False	BalanceTerminatedAccount							
180	4373	92556	please deactive my data	1467334039	4213	0	4	English	Billing	Billing Details	Wrong	Wrong	Request	False	None							
206	4983	98310	"this month bill it had incurred of misc. charges of RM 50. As this line had been terminate in Feb' 16. How come now only the charges come. When I register in the shop, they said can be waived off if terminate same month of register"	1467431594	4439	0	44	English	Billing	Billing Charges	Billing	Termination	Reason	False	TerminationOthers							
298	7325	143106	"hi, may i know my refund status for 0167786030 ??"	1468928132	6373	0	10	English	Billing	Deposit Refund	Billing	Refund	ObjectName	False	CheckRefundStatus							
300	7369	145348	I have terminated my account : Custoer ID 200786140 	1469009346	6449	0	9	English	Billing	Deposit Refund	Billing	Termination	None	False	TerminationStatus							
300	7379	145360	so may i know how can i get back the over paid value	1469009513	6449	0	13	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund							
366	8958	185030	can u check what fee i need to pay if i terminate my account	1470389286	8196	0	14	English	Billing	Billing Details	Billing	Termination	ObjectNumeric	True	HowMuchPayment							
369	9000	187451	if i terminate my number when finish contrant can i get	1470545541	8309	0	11	English	Billing	Billing Details	Billing	Termination	None	True	TerminationOthers							
381	9283	197258	when end date i cancel phone will get back deposit right RM 60 	1471061262	8774	0	12	English	Billing	Billing Details	Billing	Termination	Procedure	True	TerminationOthers							
381	9286	197262	deposit i will get back from redone dealer or center	1471061359	8774	0	10	English	Billing	Billing Details	Billing	Refund	Procedure	False	HowRefund							
397	9606	202558	how to refund it???	1471248192	9016	0	4	English	Billing	Billing Details	Billing	Refund	Procedure	False	HowRefund							
410	9853	206837	so the deposit will be return by the dealer?	1471334505	9197	0	9	English	Billing	Billing Details	Billing	Refund	Procedure	True	HowRefund							
425	10231	210634	how to refund	1471427537	9336	0	3	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund							
516	12385	244888	"I have just ported the line to other telco, can i know my deposit is still there?"	1472712488	10676	0	17	English	Billing	Deposit Refund	Billing	Termination	ObjectName	True	TerminationOthers							
516	12399	244998	How are you going refund it?	1472712934	10676	0	6	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund							
688	16357	301323	i want to confirm is the 01110903061 was terminated?	1474529967	12896	0	9	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Termination	ObjectName	False	TerminationStatus							
688	16362	301328	could you please terminate it?can you??	1474530064	12896	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Termination	Request	True	HowTerminate							
688	16364	301331	how about the deposit paid?will be refunded?	1474530094	12896	0	7	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Refund	Procedure	True	HowRefund							
763	18212	306614	"my supplementary sim card no: 01155049259 is not used at all, can u cancelled this card and is it being charged in our bill"	1474856772	13116	0	24	English	Billing	Billing Details	Billing	Termination	Request	True	HowTerminate							
763	18216	306618	can we just cancelled this sim card no: 01155049259 	1474856880	13116	0	9	English	Billing	Billing Details	Billing	Termination	Request	True	HowTerminate							
777	18554	307692	and right now I would like to terminate these 2 numbers	1474881008	13159	0	11	English	Billing	Product Charges	Billing	Termination	Request	False	HowTerminate							
777	18558	307712	"and my contract with Redone is 1 year, and how much for the dismissal agreement"	1474881270	13159	0	15	English	Billing	Product Charges	Billing	Termination	ObjectNumeric	False	HowMuchPayment							
777	18560	307719	How long with the processing time of termination form?	1474881315	13159	0	9	English	Billing	Product Charges	Billing	Termination	ObjectTime	False	TerminationOthers							
777	18561	307729	how much of the termination fees?	1474881374	13159	0	6	English	Billing	Product Charges	Billing	Termination	ObjectNumeric	False	HowMuchPayment							
